ישוב/עיר,16-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,דיווח חלקי
טירה,22,249,393,367,427,578,332,93,< 15,< 15
טירת כרמל,< 15,111,312,381,640,1572,1012,387,69,< 15
טלמון,27,109,117,176,171,22,< 15,< 15,< 15,
טמרה,28,397,470,523,638,813,384,132,< 15,< 15
יאנוח-ג'ת,< 15,36,57,55,50,81,32,< 15,,
יבנאל,< 15,17,26,32,83,155,99,47,15,
יבנה,29,216,551,816,942,2541,1786,361,86,< 15
יד בנימין,19,56,26,117,105,56,24,< 15,< 15,
יהוד,27,162,281,555,888,1873,1594,591,135,
יפיע,< 15,141,143,160,245,283,163,48,< 15,< 15
יקיר,< 15,15,36,60,34,41,38,< 15,,< 15
יקנעם עילית,29,143,271,707,924,1198,885,366,58,
ירוחם,82,203,414,392,407,497,297,103,15,< 15
ירושלים,1087,6762,8700,9405,11885,22667,19363,10396,2959,
ירכא,< 15,92,104,111,156,167,112,49,< 15,
כאבול,27,192,201,243,241,263,119,33,< 15,
כאוכב אבו אל-היג'א,< 15,50,50,88,77,93,71,19,< 15,
כוכב השחר,15,29,46,60,69,84,17,< 15,< 15,
כוכב יאיר,< 15,104,70,142,404,800,531,64,< 15,
כוכב יעקב,< 15,46,52,53,58,66,27,< 15,< 15,
כסיפה,< 15,41,45,43,43,45,25,< 15,< 15,
כסרא-סמיע,< 15,49,63,64,96,90,49,< 15,,
כעביה-טבאש-חג'אג'רה,< 15,40,57,53,60,65,28,< 15,< 15,
כפר אדומים,16,66,88,143,112,126,47,< 15,< 15,
כפר ברא,< 15,37,43,32,35,42,20,< 15,,
כפר האורנים,< 15,23,19,78,218,62,27,< 15,,< 15
כפר ורדים,15,81,62,153,360,540,407,101,25,< 15
"כפר חב""ד",19,64,126,129,145,146,86,46,< 15,
כפר יאסיף,< 15,106,159,162,237,381,211,68,< 15,< 15
כפר יונה,31,125,237,522,628,1176,815,219,25,< 15
כפר כמא,< 15,35,53,78,120,212,120,39,< 15,
כפר כנא,67,417,405,459,555,587,287,77,< 15,
